time,fireArea,predictedFireArea,accuracy,sensitivity,specificity
0,1,1,1.0,1.0,1.0
27,1,1,1.0,1.0,1.0
54,1,7,0.994140625,1.0,0.9941348973607038
81,1,7,0.994140625,1.0,0.9941348973607038
109,1,7,0.994140625,1.0,0.9941348973607038
136,1,7,0.994140625,1.0,0.9941348973607038
163,1,7,0.994140625,1.0,0.9941348973607038
191,1,7,0.994140625,1.0,0.9941348973607038
218,1,7,0.994140625,1.0,0.9941348973607038
245,1,7,0.994140625,1.0,0.9941348973607038
273,1,7,0.994140625,1.0,0.9941348973607038
300,7,7,1.0,1.0,1.0
327,7,7,1.0,1.0,1.0
354,7,12,0.9951171875,1.0,0.9950835791543756
382,7,17,0.990234375,1.0,0.9901671583087512
409,7,17,0.990234375,1.0,0.9901671583087512
436,7,18,0.9892578125,1.0,0.9891838741396264
464,7,18,0.9892578125,1.0,0.9891838741396264
491,7,18,0.9892578125,1.0,0.9891838741396264
518,7,18,0.9892578125,1.0,0.9891838741396264
546,7,18,0.9892578125,1.0,0.9891838741396264
573,7,18,0.9892578125,1.0,0.9891838741396264
600,19,18,0.9990234375,0.9473684210526315,1.0
627,19,18,0.9990234375,0.9473684210526315,1.0
655,19,31,0.98828125,1.0,0.9880597014925373
682,19,39,0.98046875,1.0,0.9800995024875622
709,19,39,0.98046875,1.0,0.9800995024875622
737,19,39,0.98046875,1.0,0.9800995024875622
764,19,39,0.98046875,1.0,0.9800995024875622
791,19,39,0.98046875,1.0,0.9800995024875622
818,19,39,0.98046875,1.0,0.9800995024875622
846,19,39,0.98046875,1.0,0.9800995024875622
873,19,39,0.98046875,1.0,0.9800995024875622
900,37,39,0.99609375,0.972972972972973,0.9969604863221885
928,37,39,0.99609375,0.972972972972973,0.9969604863221885
955,37,56,0.9794921875,0.972972972972973,0.9797365754812564
982,37,59,0.9765625,0.972972972972973,0.9766970618034447
1010,37,59,0.9765625,0.972972972972973,0.9766970618034447
1037,37,59,0.9765625,0.972972972972973,0.9766970618034447
1064,37,59,0.9765625,0.972972972972973,0.9766970618034447
1091,45,59,0.984375,0.9777777777777777,0.9846782431052093
1119,45,59,0.984375,0.9777777777777777,0.9846782431052093
1146,45,67,0.9765625,0.9777777777777777,0.9765066394279878
1173,45,73,0.970703125,0.9777777777777777,0.9703779366700716
1201,61,73,0.984375,0.9672131147540983,0.9854620976116303
1228,61,73,0.984375,0.9672131147540983,0.9854620976116303
1255,61,85,0.974609375,0.9836065573770492,0.9740394600207685
1283,71,88,0.9794921875,0.971830985915493,0.9800629590766002
1310,71,93,0.974609375,0.971830985915493,0.974816369359916
1337,71,98,0.9716796875,0.9859154929577465,0.9706190975865687
1364,71,105,0.966796875,1.0,0.9643231899265478
1392,76,106,0.970703125,1.0,0.9683544303797469
1419,76,111,0.9658203125,1.0,0.9630801687763713
1446,76,121,0.9560546875,1.0,0.9525316455696202
1474,86,124,0.962890625,1.0,0.9594882729211087
1501,100,124,0.9765625,1.0,0.974025974025974
1528,100,129,0.9716796875,1.0,0.9686147186147186
1556,100,138,0.962890625,1.0,0.9588744588744589
1583,107,144,0.9638671875,1.0,0.9596510359869138
1610,107,145,0.962890625,1.0,0.9585605234460196
1637,107,151,0.95703125,1.0,0.9520174482006543
1665,120,157,0.9638671875,1.0,0.959070796460177
1692,121,157,0.96484375,1.0,0.9601328903654485
1719,121,160,0.9619140625,1.0,0.9568106312292359
1747,121,163,0.958984375,1.0,0.9534883720930233
1774,130,166,0.96484375,1.0,0.959731543624161
1801,144,167,0.9775390625,1.0,0.9738636363636364
1829,144,174,0.970703125,1.0,0.9659090909090909
1856,150,187,0.9638671875,1.0,0.9576659038901602
1883,151,195,0.95703125,1.0,0.9495990836197021
1910,151,201,0.951171875,1.0,0.9427262313860252
1938,151,204,0.9482421875,1.0,0.9392898052691867
1965,163,208,0.9560546875,1.0,0.9477351916376306
1992,167,210,0.9580078125,1.0,0.9498249708284714
2020,167,220,0.9482421875,1.0,0.9381563593932322
2047,173,232,0.9423828125,1.0,0.9306698002350177
2074,176,240,0.9375,1.0,0.9245283018867925
2102,187,250,0.9384765625,1.0,0.9247311827956989
2129,187,262,0.9267578125,1.0,0.910394265232975
2156,202,273,0.9306640625,1.0,0.9136253041362531
2183,205,273,0.93359375,1.0,0.9169719169719169
2211,205,277,0.9296875,1.0,0.9120879120879121
2238,211,281,0.931640625,1.0,0.9138991389913899
2265,214,281,0.9345703125,1.0,0.917283950617284
2293,219,281,0.939453125,1.0,0.9229813664596274
2320,219,282,0.9384765625,1.0,0.9217391304347826
2347,234,287,0.9482421875,1.0,0.9329113924050633
2375,237,292,0.9462890625,1.0,0.9301143583227446
2402,243,304,0.9404296875,1.0,0.9218950064020487
2429,250,312,0.9375,0.996,0.9186046511627907
2457,255,321,0.93359375,0.996078431372549,0.9128738621586476
2484,258,328,0.9296875,0.9961240310077519,0.9073107049608355
2511,258,328,0.9296875,0.9961240310077519,0.9073107049608355
2538,272,333,0.9384765625,0.9963235294117647,0.9175531914893617
2566,279,338,0.9384765625,0.992831541218638,0.9181208053691275
2593,280,340,0.9375,0.9928571428571429,0.9166666666666666
2620,289,343,0.943359375,0.9930795847750865,0.9238095238095239
2648,298,345,0.9501953125,0.9932885906040269,0.9325068870523416
2675,298,346,0.94921875,0.9932885906040269,0.931129476584022
2702,303,356,0.9443359375,0.9933993399339934,0.9237170596393898
2730,316,360,0.953125,0.9936708860759493,0.9350282485875706
2757,324,366,0.951171875,0.9876543209876543,0.9342857142857143
2784,326,371,0.9482421875,0.9877300613496932,0.9297994269340975
2811,336,379,0.9501953125,0.9880952380952381,0.9316860465116279
2839,340,381,0.9560546875,0.9941176470588236,0.9371345029239766
2866,340,384,0.955078125,0.9970588235294118,0.9342105263157895
2893,341,386,0.9541015625,0.9970674486803519,0.9326500732064422
2921,350,391,0.9580078125,0.9971428571428571,0.9376854599406528
2948,362,392,0.96875,0.9972375690607734,0.9531722054380665
2975,364,399,0.9638671875,0.9972527472527473,0.9454545454545454
3003,379,408,0.9677734375,0.9947229551451188,0.951937984496124
3030,379,408,0.9677734375,0.9947229551451188,0.951937984496124
3057,380,408,0.96875,0.9947368421052631,0.953416149068323
3084,381,414,0.9638671875,0.994750656167979,0.9455676516329704
3112,388,419,0.9677734375,0.9974226804123711,0.949685534591195
3139,392,420,0.97265625,1.0,0.9556962025316456
3166,392,422,0.970703125,1.0,0.9525316455696202
3194,406,426,0.978515625,0.9975369458128078,0.9660194174757282
3221,406,428,0.9765625,0.9975369458128078,0.9627831715210357
3248,408,436,0.970703125,0.9975490196078431,0.952922077922078
3276,410,441,0.9677734375,0.9975609756097561,0.9478827361563518
3303,423,453,0.966796875,0.9952718676122931,0.9467554076539102
3330,427,467,0.958984375,0.9976580796252927,0.931323283082077
3357,427,487,0.94140625,1.0,0.8994974874371859
3385,443,499,0.943359375,0.9977426636568849,0.9018932874354562
3412,443,503,0.939453125,0.9977426636568849,0.8950086058519794
3439,444,510,0.93359375,0.9977477477477478,0.8844827586206897
3467,446,512,0.93359375,0.9977578475336323,0.884083044982699
3494,456,515,0.9404296875,0.9978070175438597,0.8943661971830986
3521,460,519,0.9404296875,0.9978260869565218,0.8936170212765957
3549,461,529,0.931640625,0.9978308026030369,0.8774422735346359
3576,486,537,0.9462890625,0.9958847736625515,0.9014869888475836
3603,488,544,0.94140625,0.9959016393442623,0.8917910447761194
3630,489,550,0.9365234375,0.9959100204498977,0.8822429906542056
3658,492,557,0.9326171875,0.9959349593495935,0.8740601503759399
3685,503,562,0.9384765625,0.9960238568588469,0.8829174664107485
3712,509,564,0.9423828125,0.9960707269155207,0.8893203883495145
3740,510,572,0.9375,0.9980392156862745,0.877431906614786
3767,530,574,0.955078125,0.9981132075471698,0.9089068825910931
3794,531,579,0.953125,1.0,0.9026369168356998
3822,531,592,0.9404296875,1.0,0.8762677484787018
3849,536,598,0.9375,0.9981343283582089,0.8709016393442623
3876,547,600,0.9462890625,0.9981718464351006,0.8867924528301887
3903,553,601,0.951171875,0.9981916817359855,0.8959660297239915
3931,554,609,0.9443359375,0.9981949458483754,0.8808510638297873
3958,582,614,0.966796875,0.9982817869415808,0.9253393665158371
3985,583,622,0.9599609375,0.9982847341337907,0.909297052154195
4013,584,631,0.9521484375,0.9982876712328768,0.8909090909090909
4040,586,635,0.9501953125,0.9982935153583617,0.8858447488584474
4067,596,640,0.955078125,0.9983221476510067,0.8948598130841121
4095,603,647,0.955078125,0.9983416252072969,0.8931116389548693
4122,603,657,0.947265625,1.0,0.8717339667458432
4149,622,664,0.953125,0.9951768488745981,0.8880597014925373
4176,623,666,0.9521484375,0.9951845906902087,0.885286783042394
4204,623,672,0.9462890625,0.9951845906902087,0.8703241895261845
4231,624,674,0.9453125,0.9951923076923077,0.8675
4258,625,675,0.9453125,0.9952,0.8671679197994987
4286,633,675,0.953125,0.995260663507109,0.8849104859335039
4313,634,676,0.953125,0.9952681388012619,0.8846153846153846
4340,650,680,0.962890625,0.9938461538461538,0.9090909090909091
4368,651,680,0.9638671875,0.9938556067588326,0.9115281501340483
4395,654,685,0.9619140625,0.9938837920489296,0.9054054054054054
4422,654,692,0.955078125,0.9938837920489296,0.8864864864864865
4449,656,697,0.9521484375,0.9939024390243902,0.8777173913043478
4477,665,699,0.958984375,0.9939849624060151,0.8941504178272981
4504,665,701,0.95703125,0.9939849624060151,0.8885793871866295
4531,682,708,0.966796875,0.9941348973607038,0.9122807017543859
4559,683,712,0.9638671875,0.9941434846266471,0.9032258064516129
4586,685,718,0.9599609375,0.9941605839416059,0.8908554572271387
4613,686,722,0.95703125,0.9941690962099126,0.8816568047337278
4641,687,725,0.955078125,0.9941775836972343,0.8753709198813057
4668,695,725,0.962890625,0.9942446043165467,0.8966565349544073
4695,698,727,0.9638671875,0.994269340974212,0.8987730061349694
4722,706,727,0.9716796875,0.9943342776203966,0.9213836477987422
4750,708,732,0.96875,0.9943502824858758,0.9113924050632911
4777,713,734,0.9716796875,0.9943899018232819,0.9196141479099679
4804,713,737,0.96875,0.9943899018232819,0.909967845659164
4832,714,739,0.9677734375,0.9943977591036415,0.9064516129032258
4859,722,739,0.9755859375,0.9944598337950139,0.9304635761589404
4886,724,740,0.9765625,0.994475138121547,0.9333333333333333
4914,732,742,0.98046875,0.9931693989071039,0.9486301369863014
4941,732,745,0.9775390625,0.9931693989071039,0.9383561643835616
4968,733,747,0.9765625,0.9931787175989086,0.9347079037800687
4995,735,750,0.9755859375,0.9931972789115646,0.9307958477508651
5023,735,750,0.9755859375,0.9931972789115646,0.9307958477508651
5050,743,750,0.9814453125,0.9919246298788694,0.9537366548042705
5077,744,750,0.982421875,0.9919354838709677,0.9571428571428572
5105,748,757,0.9755859375,0.9893048128342246,0.9384057971014492
5132,749,757,0.9765625,0.9893190921228304,0.9418181818181818
5159,752,760,0.9765625,0.9893617021276596,0.9411764705882353
5187,753,761,0.9765625,0.9893758300132802,0.940959409594096
5214,755,762,0.9775390625,0.9894039735099338,0.9442379182156134
5241,758,763,0.9794921875,0.9894459102902374,0.9511278195488722
5268,759,767,0.978515625,0.9907773386034255,0.9433962264150944
5296,765,771,0.98046875,0.9908496732026144,0.9498069498069498
5323,765,774,0.9775390625,0.9908496732026144,0.9382239382239382
5350,769,780,0.9775390625,0.9921976592977894,0.9333333333333333
5378,770,783,0.9775390625,0.9935064935064936,0.9291338582677166
5405,773,785,0.978515625,0.9935316946959897,0.9322709163346613
5432,776,788,0.978515625,0.9935567010309279,0.9314516129032258
5460,778,789,0.9794921875,0.993573264781491,0.9349593495934959
5487,782,792,0.98046875,0.9936061381074168,0.9380165289256198
5514,783,794,0.9794921875,0.9936143039591315,0.9336099585062241
5541,783,794,0.9794921875,0.9936143039591315,0.9336099585062241
5569,784,797,0.9775390625,0.9936224489795918,0.925
5596,787,797,0.98046875,0.9936467598475223,0.9367088607594937
5623,790,797,0.9833984375,0.9936708860759493,0.9487179487179487
5651,794,798,0.986328125,0.9937027707808564,0.9608695652173913
5678,795,802,0.9833984375,0.9937106918238994,0.9475982532751092
5705,796,806,0.98046875,0.9937185929648241,0.9342105263157895
5733,797,806,0.9814453125,0.9937264742785445,0.9383259911894273
5760,799,807,0.982421875,0.9937421777221527,0.9422222222222222
5787,800,807,0.9833984375,0.99375,0.9464285714285714
5814,803,809,0.984375,0.9937733499377335,0.9502262443438914
5842,803,810,0.9833984375,0.9937733499377335,0.9457013574660633
5869,803,813,0.98046875,0.9937733499377335,0.9321266968325792
5896,806,814,0.982421875,0.9937965260545906,0.9403669724770642
5924,808,814,0.984375,0.9938118811881188,0.9490740740740741
5951,811,814,0.9873046875,0.9938347718865598,0.9624413145539906
5978,811,817,0.984375,0.9938347718865598,0.9483568075117371
6006,813,820,0.9833984375,0.993849938499385,0.943127962085308
6033,814,820,0.984375,0.9938574938574939,0.9476190476190476
6060,816,820,0.986328125,0.9938725490196079,0.9567307692307693
6087,817,822,0.9853515625,0.9938800489596084,0.9516908212560387
6115,818,825,0.9833984375,0.9938875305623472,0.941747572815534
6142,818,826,0.982421875,0.9938875305623472,0.9368932038834952
6169,818,826,0.982421875,0.9938875305623472,0.9368932038834952
6197,820,828,0.982421875,0.9939024390243902,0.9362745098039216
6224,821,829,0.982421875,0.9939098660170523,0.9359605911330049
6251,824,832,0.984375,0.9951456310679612,0.94
6279,824,832,0.984375,0.9951456310679612,0.94
6306,827,833,0.986328125,0.9951632406287787,0.949238578680203
6333,828,835,0.9853515625,0.9951690821256038,0.9438775510204082
6360,829,835,0.986328125,0.9951749095295537,0.9487179487179487
6388,830,836,0.986328125,0.9951807228915662,0.9484536082474226
6415,831,836,0.9873046875,0.9951865222623345,0.9533678756476683
6442,831,836,0.9873046875,0.9951865222623345,0.9533678756476683
6470,831,837,0.986328125,0.9951865222623345,0.9481865284974094
6497,835,837,0.990234375,0.9952095808383233,0.9682539682539683
6524,836,838,0.990234375,0.9952153110047847,0.9680851063829787
6552,838,839,0.9912109375,0.9952267303102625,0.9731182795698925
6579,838,843,0.9873046875,0.9952267303102625,0.9516129032258065
6606,840,844,0.990234375,0.9964285714285714,0.9619565217391305
6633,841,845,0.990234375,0.9964328180737217,0.9617486338797814
6661,842,846,0.98828125,0.995249406175772,0.9560439560439561
6688,843,848,0.9892578125,0.99644128113879,0.9558011049723757
6715,844,850,0.98828125,0.9964454976303317,0.95
6743,844,852,0.98828125,0.9976303317535545,0.9444444444444444
6770,844,855,0.9853515625,0.9976303317535545,0.9277777777777778
6797,849,855,0.990234375,0.9976442873969376,0.9542857142857143
6825,849,855,0.990234375,0.9976442873969376,0.9542857142857143
6852,850,855,0.9912109375,0.9976470588235294,0.9597701149425287
6879,850,857,0.9892578125,0.9976470588235294,0.9482758620689655
6906,852,859,0.9892578125,0.9976525821596244,0.9476744186046512
6934,853,859,0.990234375,0.9976553341148886,0.9532163742690059
6961,854,861,0.9892578125,0.9976580796252927,0.9470588235294117
6988,857,862,0.9912109375,0.9976662777129521,0.9580838323353293
7016,858,864,0.990234375,0.9976689976689976,0.9518072289156626
7043,858,866,0.98828125,0.9976689976689976,0.9397590361445783
7070,858,870,0.984375,0.9976689976689976,0.9156626506024096
7098,861,872,0.9853515625,0.9976771196283392,0.9202453987730062
7125,861,875,0.982421875,0.9976771196283392,0.901840490797546
7152,862,880,0.978515625,0.9976798143851509,0.8765432098765432
7179,865,880,0.9814453125,0.9976878612716763,0.8930817610062893
7207,866,881,0.9814453125,0.9976905311778291,0.8924050632911392
7234,867,882,0.9814453125,0.9976931949250288,0.89171974522293
7261,868,882,0.982421875,0.9976958525345622,0.8974358974358975
7289,869,882,0.9833984375,0.997698504027618,0.9032258064516129
7316,870,883,0.9833984375,0.9977011494252873,0.9025974025974026
7343,870,883,0.9833984375,0.9977011494252873,0.9025974025974026
7371,873,885,0.984375,0.997709049255441,0.9072847682119205
7398,875,886,0.9853515625,0.9977142857142857,0.912751677852349
7425,875,887,0.984375,0.9977142857142857,0.9060402684563759
7452,876,888,0.984375,0.997716894977169,0.9054054054054054
7480,877,888,0.9853515625,0.9977194982896237,0.9115646258503401
7507,878,888,0.986328125,0.9977220956719818,0.9178082191780822
7534,879,888,0.9873046875,0.9977246871444824,0.9241379310344827
7562,883,888,0.9912109375,0.9977349943374858,0.950354609929078
7589,883,888,0.9912109375,0.9977349943374858,0.950354609929078
7616,884,891,0.9892578125,0.997737556561086,0.9357142857142857
7644,884,891,0.9892578125,0.997737556561086,0.9357142857142857
7671,884,891,0.9892578125,0.997737556561086,0.9357142857142857
7698,885,892,0.9892578125,0.9977401129943503,0.935251798561151
7725,885,892,0.9892578125,0.9977401129943503,0.935251798561151
7753,888,892,0.9921875,0.9977477477477478,0.9558823529411765
7780,889,892,0.9931640625,0.9977502812148481,0.9629629629629629
