time,fireArea,predictedFireArea,precision
0,1,1,1.0
27,1,1,1.0
54,7,7,1.0
81,7,7,1.0
109,20,16,0.8
136,20,16,0.8
163,44,32,0.7272727272727273
191,44,34,0.7727272727272727
218,72,55,0.7638888888888888
245,72,61,0.8472222222222222
273,106,85,0.8018867924528302
300,106,89,0.839622641509434
327,150,124,0.8266666666666667
354,150,140,0.9333333333333333
382,201,183,0.9104477611940298
409,201,195,0.9701492537313433
436,258,244,0.9457364341085271
464,258,256,0.9922480620155039
491,321,301,0.9376947040498442
518,321,310,0.9657320872274143
546,390,353,0.9051282051282051
573,390,363,0.9307692307692308
600,464,415,0.8943965517241379
627,464,420,0.9051724137931034
655,548,485,0.885036496350365
682,548,498,0.9087591240875912
709,642,556,0.8660436137071651
737,642,572,0.8909657320872274
764,742,651,0.8773584905660378
791,742,675,0.9097035040431267
818,839,743,0.8855780691299165
846,839,769,0.9165673420738975
873,935,849,0.9080213903743316
900,935,879,0.9401069518716577
928,1028,941,0.9153696498054474
955,1028,952,0.9260700389105059
982,1127,1026,0.9103815439219166
1010,1127,1047,0.9290150842945873
1037,1239,1120,0.903954802259887
1064,1239,1142,0.9217110573042776
1091,1360,1211,0.8904411764705882
1119,1360,1232,0.9058823529411765
1146,1498,1315,0.8778371161548731
1173,1498,1338,0.8931909212283045
1201,1633,1417,0.8677281077770974
1228,1633,1455,0.8909981628903858
1255,1767,1541,0.8720996038483305
1283,1767,1564,0.8851160158460668
1310,1908,1650,0.8647798742138365
1337,1908,1683,0.8820754716981132
1364,2056,1791,0.8711089494163424
1392,2056,1837,0.8934824902723736
1419,2212,1956,0.8842676311030742
1446,2212,1980,0.895117540687161
1474,2377,2092,0.8801009676062264
1501,2377,2129,0.8956668068994531
1528,2555,2239,0.876320939334638
1556,2555,2268,0.8876712328767123
1583,2739,2380,0.868930266520628
1610,2739,2418,0.882803943044907
1637,2924,2531,0.865595075239398
1665,2924,2561,0.8758549931600548
1692,3105,2670,0.8599033816425121
1719,3105,2704,0.87085346215781
1747,3310,2827,0.8540785498489426
1774,3310,2862,0.8646525679758308
1801,3524,3004,0.8524404086265607
1829,3524,3034,0.8609534619750284
1856,3742,3169,0.8468733297701764
1883,3742,3191,0.8527525387493319
1910,3970,3305,0.8324937027707808
1938,3970,3334,0.8397984886649874
1965,4214,3462,0.8215472235405791
1992,4214,3499,0.830327479829141
2020,4452,3630,0.8153638814016172
2047,4452,3664,0.8230008984725966
2074,4695,3805,0.8104366347177849
2102,4695,3846,0.8191693290734824
2129,4959,4013,0.8092357330106876
2156,4959,4071,0.8209316394434362
