time,fireArea,predictedFireArea,accuracy,sensitivity,specificity
0,1,1,1.0,1.0,1.0
27,1,1,1.0,1.0,1.0
54,1,1,1.0,1.0,1.0
81,9,9,1.0,1.0,1.0
109,9,9,1.0,1.0,1.0
136,9,12,0.99853515625,1.0,0.9985286905345758
163,24,23,0.99951171875,0.9583333333333334,1.0
191,24,23,0.99951171875,0.9583333333333334,1.0
218,24,38,0.9931640625,1.0,0.9930830039525692
245,44,46,0.998046875,0.9772727272727273,0.9985029940119761
273,50,46,0.998046875,0.92,1.0
300,50,46,0.998046875,0.92,1.0
327,73,60,0.99365234375,0.821917808219178,1.0
354,77,67,0.994140625,0.8571428571428571,0.9994926433282597
382,84,85,0.99365234375,0.9285714285714286,0.9964358452138493
409,109,102,0.99658203125,0.9357798165137615,1.0
436,114,107,0.99462890625,0.9210526315789473,0.9989658738366081
464,121,119,0.9931640625,0.9338842975206612,0.9968863518422418
491,154,134,0.990234375,0.8701298701298701,1.0
518,158,137,0.98974609375,0.8670886075949367,1.0
546,163,163,0.984375,0.901840490797546,0.9915119363395225
573,192,177,0.98779296875,0.8958333333333334,0.9973060344827587
600,202,177,0.98779296875,0.8762376237623762,1.0
627,207,181,0.986328125,0.8695652173913043,0.9994568169473113
655,231,199,0.982421875,0.8528138528138528,0.9988992845349477
682,243,206,0.97802734375,0.831275720164609,0.9977839335180055
709,254,214,0.9765625,0.8267716535433071,0.9977703455964325
737,266,216,0.97265625,0.8007518796992481,0.9983164983164983
764,269,216,0.97314453125,0.7992565055762082,0.9994378864530635
791,283,224,0.96923828125,0.784452296819788,0.9988668555240793
818,292,224,0.9609375,0.7465753424657534,0.9965831435079726
846,295,224,0.96533203125,0.7593220338983051,1.0
873,298,224,0.9638671875,0.7516778523489933,1.0
900,299,224,0.96337890625,0.7491638795986622,1.0
928,299,224,0.95654296875,0.725752508361204,0.9959977129788451
955,299,224,0.95654296875,0.725752508361204,0.9959977129788451
982,299,224,0.95654296875,0.725752508361204,0.9959977129788451
1010,299,224,0.96240234375,0.745819397993311,0.9994282447112636
1037,299,224,0.96240234375,0.745819397993311,0.9994282447112636
1064,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
1091,299,224,0.95751953125,0.7290969899665551,0.9965694682675815
1119,299,224,0.95849609375,0.7324414715719063,0.9971412235563178
1146,299,224,0.95166015625,0.7090301003344481,0.9931389365351629
1173,299,224,0.96337890625,0.7491638795986622,1.0
1201,299,224,0.96337890625,0.7491638795986622,1.0
1228,299,224,0.96337890625,0.7491638795986622,1.0
1255,299,224,0.96142578125,0.7424749163879598,0.9988564894225271
1283,299,224,0.95947265625,0.7357859531772575,0.9977129788450543
1310,299,224,0.95947265625,0.7357859531772575,0.9977129788450543
1337,299,224,0.96337890625,0.7491638795986622,1.0
1364,299,224,0.96337890625,0.7491638795986622,1.0
1392,299,224,0.96337890625,0.7491638795986622,1.0
1419,299,224,0.96337890625,0.7491638795986622,1.0
1446,299,224,0.96337890625,0.7491638795986622,1.0
1474,299,224,0.96337890625,0.7491638795986622,1.0
1501,299,224,0.96337890625,0.7491638795986622,1.0
1528,299,224,0.96337890625,0.7491638795986622,1.0
1556,299,224,0.96337890625,0.7491638795986622,1.0
1583,299,224,0.96337890625,0.7491638795986622,1.0
1610,299,224,0.96337890625,0.7491638795986622,1.0
1637,299,224,0.96337890625,0.7491638795986622,1.0
1665,299,224,0.96337890625,0.7491638795986622,1.0
1692,299,224,0.96337890625,0.7491638795986622,1.0
1719,299,224,0.96337890625,0.7491638795986622,1.0
1747,299,224,0.96337890625,0.7491638795986622,1.0
1774,299,224,0.96337890625,0.7491638795986622,1.0
1801,299,224,0.96337890625,0.7491638795986622,1.0
1829,299,224,0.96337890625,0.7491638795986622,1.0
1856,299,224,0.96337890625,0.7491638795986622,1.0
1883,299,224,0.96337890625,0.7491638795986622,1.0
1910,299,224,0.96337890625,0.7491638795986622,1.0
1938,299,224,0.96337890625,0.7491638795986622,1.0
1965,299,224,0.96337890625,0.7491638795986622,1.0
1992,299,224,0.96337890625,0.7491638795986622,1.0
2020,299,224,0.96337890625,0.7491638795986622,1.0
2047,299,224,0.96337890625,0.7491638795986622,1.0
2074,299,224,0.96337890625,0.7491638795986622,1.0
2102,299,224,0.96337890625,0.7491638795986622,1.0
2129,299,224,0.96337890625,0.7491638795986622,1.0
2156,299,224,0.96337890625,0.7491638795986622,1.0
2183,299,224,0.96337890625,0.7491638795986622,1.0
2211,299,224,0.95947265625,0.7357859531772575,0.9977129788450543
2238,299,224,0.96142578125,0.7424749163879598,0.9988564894225271
2265,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2293,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2320,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2347,299,224,0.96240234375,0.745819397993311,0.9994282447112636
2375,299,224,0.96142578125,0.7424749163879598,0.9988564894225271
2402,299,224,0.96240234375,0.745819397993311,0.9994282447112636
2429,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2457,299,224,0.96337890625,0.7491638795986622,1.0
2484,299,224,0.95849609375,0.7324414715719063,0.9971412235563178
2511,299,224,0.95849609375,0.7324414715719063,0.9971412235563178
2538,299,224,0.95849609375,0.7324414715719063,0.9971412235563178
2566,299,224,0.95849609375,0.7324414715719063,0.9971412235563178
2593,299,224,0.96142578125,0.7424749163879598,0.9988564894225271
2620,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2648,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2675,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2702,299,224,0.96142578125,0.7424749163879598,0.9988564894225271
2730,299,224,0.96142578125,0.7424749163879598,0.9988564894225271
2757,299,224,0.96044921875,0.7391304347826086,0.9982847341337907
2784,299,224,0.96240234375,0.745819397993311,0.9994282447112636
2811,299,224,0.96337890625,0.7491638795986622,1.0
2839,299,224,0.96337890625,0.7491638795986622,1.0
2866,299,224,0.96337890625,0.7491638795986622,1.0
2893,299,224,0.96337890625,0.7491638795986622,1.0
2921,299,224,0.96337890625,0.7491638795986622,1.0
2948,299,224,0.96337890625,0.7491638795986622,1.0
2975,299,224,0.96337890625,0.7491638795986622,1.0
3003,299,224,0.96337890625,0.7491638795986622,1.0
3030,299,224,0.96337890625,0.7491638795986622,1.0
3057,299,224,0.96337890625,0.7491638795986622,1.0
3084,299,224,0.96337890625,0.7491638795986622,1.0
3112,299,224,0.96337890625,0.7491638795986622,1.0
3139,299,224,0.96337890625,0.7491638795986622,1.0
3166,299,224,0.96337890625,0.7491638795986622,1.0
3194,299,226,0.96240234375,0.7491638795986622,0.9988564894225271
3221,299,226,0.96240234375,0.7491638795986622,0.9988564894225271
3248,299,226,0.96240234375,0.7491638795986622,0.9988564894225271
3276,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3303,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3330,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3357,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3385,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3412,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3439,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3467,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3494,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3521,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3549,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3576,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3603,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3630,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3658,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3685,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3712,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3740,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3767,299,228,0.96142578125,0.7491638795986622,0.9977129788450543
3794,299,228,0.96240234375,0.7525083612040134,0.9982847341337907
3822,299,229,0.9619140625,0.7525083612040134,0.9977129788450543
3849,299,229,0.9619140625,0.7525083612040134,0.9977129788450543
3876,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
3903,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
3931,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
3958,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
3985,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4013,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4040,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4067,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4095,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4122,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4149,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4176,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4204,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4231,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4258,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4286,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4313,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4340,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4368,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4395,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
4422,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4449,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4477,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4504,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4531,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4559,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4586,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4613,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4641,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4668,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4695,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4722,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4750,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4777,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4804,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4832,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4859,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4886,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4914,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4941,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4968,299,229,0.96484375,0.7625418060200669,0.9994282447112636
4995,299,229,0.96484375,0.7625418060200669,0.9994282447112636
5023,299,229,0.96484375,0.7625418060200669,0.9994282447112636
5050,299,229,0.96484375,0.7625418060200669,0.9994282447112636
5077,299,229,0.96484375,0.7625418060200669,0.9994282447112636
5105,299,229,0.96484375,0.7625418060200669,0.9994282447112636
5132,299,229,0.96484375,0.7625418060200669,0.9994282447112636
5159,299,229,0.96484375,0.7625418060200669,0.9994282447112636
5187,299,229,0.9658203125,0.7658862876254181,1.0
5214,299,229,0.9658203125,0.7658862876254181,1.0
5241,299,229,0.9658203125,0.7658862876254181,1.0
5268,299,229,0.9658203125,0.7658862876254181,1.0
5296,299,229,0.9658203125,0.7658862876254181,1.0
5323,299,229,0.9658203125,0.7658862876254181,1.0
5350,299,229,0.9658203125,0.7658862876254181,1.0
5378,299,229,0.9658203125,0.7658862876254181,1.0
5405,299,229,0.9658203125,0.7658862876254181,1.0
5432,299,229,0.9658203125,0.7658862876254181,1.0
5460,299,229,0.9658203125,0.7658862876254181,1.0
5487,299,229,0.9658203125,0.7658862876254181,1.0
5514,299,229,0.9658203125,0.7658862876254181,1.0
5541,299,229,0.9658203125,0.7658862876254181,1.0
5569,299,229,0.9658203125,0.7658862876254181,1.0
5596,299,229,0.9658203125,0.7658862876254181,1.0
5623,299,229,0.9658203125,0.7658862876254181,1.0
5651,299,229,0.9658203125,0.7658862876254181,1.0
5678,299,229,0.9658203125,0.7658862876254181,1.0
5705,299,229,0.9658203125,0.7658862876254181,1.0
5733,299,229,0.9658203125,0.7658862876254181,1.0
5760,299,229,0.9658203125,0.7658862876254181,1.0
5787,299,229,0.9658203125,0.7658862876254181,1.0
5814,299,229,0.9658203125,0.7658862876254181,1.0
5842,299,229,0.9658203125,0.7658862876254181,1.0
5869,299,229,0.9658203125,0.7658862876254181,1.0
5896,299,229,0.9658203125,0.7658862876254181,1.0
5924,299,229,0.9658203125,0.7658862876254181,1.0
5951,299,229,0.9658203125,0.7658862876254181,1.0
5978,299,229,0.9658203125,0.7658862876254181,1.0
6006,299,229,0.9658203125,0.7658862876254181,1.0
6033,299,229,0.9658203125,0.7658862876254181,1.0
6060,299,229,0.9658203125,0.7658862876254181,1.0
6087,299,229,0.9658203125,0.7658862876254181,1.0
6115,299,229,0.9658203125,0.7658862876254181,1.0
6142,299,229,0.9658203125,0.7658862876254181,1.0
6169,299,229,0.9658203125,0.7658862876254181,1.0
6197,299,229,0.9658203125,0.7658862876254181,1.0
6224,299,229,0.9619140625,0.7525083612040134,0.9977129788450543
6251,299,229,0.96484375,0.7625418060200669,0.9994282447112636
6279,299,229,0.9658203125,0.7658862876254181,1.0
6306,299,229,0.9658203125,0.7658862876254181,1.0
6333,299,229,0.9658203125,0.7658862876254181,1.0
6360,299,229,0.9658203125,0.7658862876254181,1.0
6388,299,229,0.9658203125,0.7658862876254181,1.0
6415,299,229,0.9658203125,0.7658862876254181,1.0
6442,299,229,0.9658203125,0.7658862876254181,1.0
6470,299,229,0.962890625,0.7558528428093646,0.9982847341337907
6497,299,229,0.9658203125,0.7658862876254181,1.0
6524,299,229,0.9658203125,0.7658862876254181,1.0
6552,299,229,0.962890625,0.7558528428093646,0.9982847341337907
6579,299,229,0.9658203125,0.7658862876254181,1.0
6606,299,229,0.9658203125,0.7658862876254181,1.0
6633,299,229,0.9658203125,0.7658862876254181,1.0
6661,299,229,0.9658203125,0.7658862876254181,1.0
6688,299,229,0.9658203125,0.7658862876254181,1.0
6715,299,229,0.9638671875,0.7591973244147158,0.9988564894225271
6743,299,229,0.9658203125,0.7658862876254181,1.0
6770,299,229,0.9658203125,0.7658862876254181,1.0
6797,299,229,0.9658203125,0.7658862876254181,1.0
6825,299,229,0.9658203125,0.7658862876254181,1.0
6852,299,229,0.9658203125,0.7658862876254181,1.0
6879,299,229,0.9658203125,0.7658862876254181,1.0
